GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.external.worldbank.data.impl,org.w3._2001.xmlschema,Adapter3,9,0,0,0,3,0,3,0,3,0
model.external.worldbank.data.impl,org.w3._2001.xmlschema,Adapter1,9,0,0,0,3,0,3,0,3,0
model.external.worldbank.data.impl,org.w3._2001.xmlschema,Adapter2,9,0,0,0,3,0,3,0,3,0
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,WorldBankData,181,129,7,7,45,32,17,12,10,12
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,RoundtripTest,0,7,0,0,0,3,0,3,0,3
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,DataElement_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Country_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,DataElement,265,179,26,14,59,40,32,15,13,14
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Country,121,70,5,5,31,17,13,6,8,6
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Indicator_,3,0,0,0,1,0,1,0,1,0
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,ObjectFactory,19,0,0,0,6,0,5,0,5,0
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Indicator,121,70,5,5,31,17,13,6,8,6
model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,WorldBankData_,3,0,0,0,1,0,1,0,1,0
